episode,seed,forward_progress_m,lateral_drift_m,velocity_mae_mps,duration_s,fallen,fall_time_s,survival_success,progress_success,tracking_success,direction_success,overall_success,final_z,min_progress_m,ideal_distance_m,command_vx,kind
13,1013,0.6283534268300255,0.06492700710717585,0.17074491802580802,2.22,1,2.22,0,0,1,1,0,0.28672191482570886,3.5,5.0,0.5,rails_v2
14,1014,0.8406563995497317,0.0846370009901278,0.390150208721502,10.0,0,,1,0,0,1,0,0.23159116122382586,3.5,5.0,0.5,rails_v2
15,1015,0.6659783079147246,0.28621224491665653,0.32610381263780436,7.396,1,7.396,0,0,0,1,0,0.28005025633051417,3.5,5.0,0.5,rails_v2
16,1016,0.08119993341905371,0.27968076444473594,0.1920419214585363,2.734,1,2.734,0,0,1,1,0,0.15938959431873892,3.5,5.0,0.5,rails_v2
17,1017,0.4220630121406919,0.18920812739368076,0.23955211717646785,3.946,1,3.946,0,0,1,1,0,0.26692129510266704,3.5,5.0,0.5,rails_v2
18,1018,0.5769871480078237,0.18197766069558025,0.1284536189113628,2.196,1,2.196,0,0,1,1,0,0.26198585136302294,3.5,5.0,0.5,rails_v2
19,1019,0.32986825892163857,0.5435764435860654,0.1882198812856896,3.0540000000000003,1,3.0540000000000003,0,0,1,1,0,0.15685232834667842,3.5,5.0,0.5,rails_v2
20,1020,0.6212723323611029,0.2405859175117616,0.13686050826332957,2.172,1,2.172,0,0,1,1,0,0.23574902678522688,3.5,5.0,0.5,rails_v2
21,1021,0.8343989534495365,0.025988054154361236,0.17104887003177785,2.0300000000000002,1,2.0300000000000002,0,0,1,1,0,0.36611245703840506,3.5,5.0,0.5,rails_v2
22,1022,0.46649918048038347,0.4773740652261255,0.2203965917362256,3.33,1,3.33,0,0,1,1,0,0.21768918078449934,3.5,5.0,0.5,rails_v2
23,1023,0.5331776074395597,0.11797514533898304,0.22363013512281982,2.908,1,2.908,0,0,1,1,0,0.23310195160085082,3.5,5.0,0.5,rails_v2
24,1024,0.5784052801015825,0.1463570680678754,0.12756714571980174,2.436,1,2.436,0,0,1,1,0,0.1971390033058394,3.5,5.0,0.5,rails_v2
25,1025,0.711765775678344,0.28292842129799123,0.14730458096384744,2.586,1,2.586,0,0,1,1,0,0.248947316012843,3.5,5.0,0.5,rails_v2
26,1026,-0.05611592752954215,0.0386111776736893,0.21220851272186475,2.736,1,2.736,0,0,1,1,0,0.14578606946629136,3.5,5.0,0.5,rails_v2
27,1027,0.7105592315121559,0.13275801881495358,0.18304941550442652,2.0300000000000002,1,2.0300000000000002,0,0,1,1,0,0.32181549042965707,3.5,5.0,0.5,rails_v2
28,1028,0.5997472355450859,0.11038566679152044,0.1284718795944292,2.086,1,2.086,0,0,1,1,0,0.24806593486751885,3.5,5.0,0.5,rails_v2
29,1029,1.2186655759294585,0.2913089685535262,0.21426933443833743,3.2840000000000003,1,3.2840000000000003,0,0,1,1,0,0.179997817802822,3.5,5.0,0.5,rails_v2
30,1030,0.8516041286012791,0.02014341340738872,0.13681948015490164,2.248,1,2.248,0,0,1,1,0,0.3670379993038214,3.5,5.0,0.5,rails_v2
31,1031,0.5654203614631969,0.0030204709209707935,0.1829833759117354,1.678,1,1.678,0,0,1,1,0,0.27706758760310146,3.5,5.0,0.5,rails_v2
32,1032,0.3694027212696501,0.5351281334825218,0.20448976164195887,2.7720000000000002,1,2.7720000000000002,0,0,1,1,0,0.24607887844123172,3.5,5.0,0.5,rails_v2
33,1033,0.62411249984096,0.010278932171180616,0.17198422796299875,1.692,1,1.692,0,0,1,1,0,0.3229251242080102,3.5,5.0,0.5,rails_v2
34,1034,1.2581234941714006,0.27194400675976016,0.19241523376023892,2.724,1,2.724,0,0,1,1,0,0.16444320543159724,3.5,5.0,0.5,rails_v2
35,1035,0.5244183143043658,0.7837414480372373,0.16074193515736518,3.314,1,3.314,0,0,1,0,0,0.26883508293273606,3.5,5.0,0.5,rails_v2
36,1036,0.8011801952665519,0.05653601054695585,0.1650890414800578,1.986,1,1.986,0,0,1,1,0,0.26089631043777317,3.5,5.0,0.5,rails_v2
37,1037,0.7341055890440922,0.12125047844724239,0.18529206802242057,3.682,1,3.682,0,0,1,1,0,0.27558054301066154,3.5,5.0,0.5,rails_v2
